show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
Rocket Robin Hood,6.5,1966-1969,22,"Animation, Adventure, Family",TV-Y7,230,"The futuristic adventures of the legendary outlaw and his Merry Men in outer space, where their archnemesis, the evil Sheriff of N.O.T., pursues them."
Cinema Club,8.3,2018- ,,Talk-Show,,24,The Cinema Club aims to broaden the discourse of classic and contemporary works of cinema by applying new forms of criticism to the language of cinematic expression.
Marvel Disk Wars: The Avengers,5.1,2014-2015,,"Animation, Action, Adventure",TV-PG,283,"A group of teenagers join forces with the Avengers, Earth's mightiest heroes, to fight against the tyrannical Loki and his mighty empire."
Kamen Rider W,8.3,2009-2010,25,"Action, Adventure, Comedy",TV-PG,520,"A detective, Hidari Shotaro, and an unknown library-boy, Phillip, combine to become a half-green half-black hero to protect Fuuto City by using Gaia Memories."
Mighty Mouse: The New Adventures,7,1987-1988,30,"Animation, Action, Adventure",TV-Y7,659,"Mighty Mouse has humorous, satirical adventures in this short-lived Saturday Morning cartoon by Ralph Bakshi."
Zorro,6.6,1997-1998,30,"Animation, Family, Adventure",,200,"Don Diego de la Vega opposes the corrupt tyrants of Spanish California as the masked swordsman, Zorro."
Mega Babies,2.8,1999-2000,,"Animation, Comedy, Fantasy",TV-Y7,"1,012","Mega Babies is a show about a trio of super infants named Meg, Derrick, and Buck who, with the help of their guardian, Nurse Lazlo, defend their home city from evil doers."
Justice League: Gods and Monsters Chronicles,7.6,2015-2016,6,"Animation, Short, Action",,"1,337","Taking place in an alternate reality featuring their versions of Superman, Wonder Woman, and Batman."
Ultraman Z,7.9,2020,25,"Action, Adventure, Comedy",TV-PG,178,"The newest Ultra Hero is Ultraman Zett, the disciple of Ultraman Zero, who is now celebrating his tenth anniversary. An admirer of Zero, Zett worked hard to become a member of the ""Inter ... See full summary »"
Kamen Rider Den-O,7.7,2007-2008,25,"Action, Adventure, Comedy",TV-PG,439,Ryotaro Nogami transforms into Kamen Rider Den-O traveling to different times using the time-traveling train DenLiner to battle the Imagin monsters and preventing them from altering the past to affect the present and future.
Nutri Ventures,8.1,2013-2016,24,"Animation, Adventure",TV-Y7,51,"Theo, Lena, Ben, Nina and their Guga friends have the exciting mission of discovering the food group kingdoms and returning nutritious food to their city where no food exists under the rule of super villain Alex Grand."
The Batman/Superman Hour,7.5,1968-1969,60,"Animation, Action, Adventure",,"1,377",The Dynamic Duo battles crime in Gotham City.
The Ripping Friends,6.4,2001-2002,30,"Animation, Comedy",TV-PG,472,The misadventures of a quartet of muscleheaded superheroes.
Chespirito,8.1,1980-1995,60,"Comedy, Crime, Family",TV-PG,541,"Comic sketches by Roberto Gomez Bolaños ""Chespirito,"" peopled by every character he has created."
Flash Gordon,6.1,1996-1997,30,"Animation, Action, Adventure",TV-PG,139,"After his astronaut parents are sucked into a dimensional hole to the planet Mongo, the teenage hoverboard enthusiast Flash Gordon, his love interest Dale Arden and the scientist Dr. Hans ... See full summary »"
Sabrina's Secret Life,6.4,2003-2004,30,"Animation, Family",TV-Y,475,"These adventures focus on Sabrina training at a witchcraft academy, and feature the rival character Cassandra (aka 'Portia' from ""Friends Forever"")."
Blackstar,6.8,1981-1982,30,"Animation, Adventure, Family",,775,"An astronaut, stranded on a primitive planet in a distant universe, fights against the tyranny of the Overlord."
Bucky O'Hare and the Toad Wars!,7.4,1991-1992,30,"Animation, Action, Adventure",,820,Galactic hero Bucky O'Hare and his brave crew battle the evil toads bent on conquering the universe. A young boy genius from the human universe joins Bucky's crew.
Action League Now!!,8.1,2003-2004,25,"Animation, Comedy, Family",TV-Y7,647,"This KaBlam spinoff combines the original shorts into a half-hour program, while being connected to each other thematically."
Los Luchadores,6.8,2000-2002,,"Action, Adventure, Comedy",TV-Y7,62,Saban's action comedy show about three young heroic Canadian luchadores (one of them a girl) fighting supervillains.
Ultraman: The Ultimate Hero,6.4,1993-1995,27,"Action, Adventure, Drama",TV-PG,77,WINR member Kenichi Kai transforms into a new Ultraman to defend the Earth from giant monsters and aliens.
Nightwing: Escalation,5.1,2011- ,20,Action,,94,The adventures of Nightwing defending Gotham City in Batman's absence.
