show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
Kung Fu,7.7,1972-1975,60,"Adventure, Drama, Western",TV-PG,"5,962",The adventures of a Shaolin Monk as he wanders the American West armed only with his skill in Kung Fu.
Cloak & Dagger,6.7,2018-2019,44,"Action, Adventure, Drama",TV-14,"19,617",Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while growing closer together every day.
Ben 10: Alien Force,7.3,2008-2010,22,"Animation, Action, Adventure",TV-Y7,"9,345","Fifteen-year-old Ben Tennyson must utilize the Omnitrix yet again in order to locate his missing Grandpa Max, accompanied by his cousin Gwen and former enemy Kevin 11."
Adventures of Superman,7.7,1952-1958,30,"Action, Adventure, Crime",TV-G,"3,815",The Man of Steel fights crime with help from his friends at the Daily Planet.
The Venture Bros.,8.5,2003-2018,22,"Animation, Action, Adventure",TV-MA,"25,294","The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
"Scooby Doo, Where Are You!",7.9,1969-1970,22,"Animation, Adventure, Comedy",TV-G,"33,455","A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
Shaktimaan,8.2,1997-2005,60,"Action, Adventure, Family",Not Rated,"4,728","When darkness get strengthened to destroy the world, Suryanshis chose Shaktimaan in order to fight against the forces of evil."
Ultimate Spider-Man,7.2,2012-2017,23,"Animation, Action, Adventure",TV-Y7,"11,838",Spider-Man battles evil with a new team of teen colleagues and training from S.H.I.E.L.D.
Trollhunters: Tales of Arcadia,8.4,2016-2018,23,"Animation, Action, Adventure",TV-Y7,"16,219","An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
Armor Wars,Not-Rated,TBA,,"Action, Adventure, Drama",,,Find out in this series what would happen if Tony Stark's tech fell into the wrong hands.
Ben 10: Omniverse,6.1,2012-2014,22,"Animation, Action, Adventure",TV-Y7,"4,702","The continuing adventures of Ben Tennyson (Yuri Lowenthal) and his new partner, Rook Blonko (Bumper Robinson)."
Krypton,6.9,2018-2019,45,"Action, Adventure, Drama",TV-14,"16,301",The untold story of Superman's grandfather as he fights for justice on his home planet.
